sorgu|1st|2nd|3rd|4th|5th
Metinde hangi anlamlara gelen bir kısaltmadan bahsedilmektedir?|Programlama dili|Arslanoğlu|Telefol|Yalomiça (anlam ayrımı)|Periplus Maris Erythraei
Uluslararası hukukta, devletler arasında eşitlik ilkesi geçerli midir?|Hors de combat|Uti possidetis|9. Uluslararası İstanbul Film Festivali'nde gösterilen filmler|24. Uluslararası İstanbul Film Festivali'nde gösterilen filmler|Saldırmazlık ilkesi
Windows işletim sistemi ailesi hangi şirket tarafından geliştirilmiştir?|Windows 8|Microsoft Windows|Windows Messenger|Windows Live Gallery|Suse
Dinin kökeninin vahiy olduğunu savunan bilim insanlarından biri Wilhelm Schmidt midir?|Din|II. Friedrich Wilhelm|Ontoloji|Deizm|Skeptic
Mustafa Kemal, Hicaz Seferi'ne katılan birliklerin komutanlığına atandı mı?|Mustafa Kemal Atatürk'ün askerî kariyeri|Hicaz (müzik)|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi
Galatasaray Lisesi'nin tarihi ve günümüzdeki durumu nasıldır?|Galatasaray SK|Galatasaray Lisesi|İnsanlık Durumu|Galatasaray Beyoğlu Hasnun Galip Kulüp Merkezi|Ahmet Reşat Arığ
Metinde, Porsche AG'nin Formula 1'deki başarıları, pilotlar dünya şampiyonlukları ve üreticiler dünya şampiyonlukları hakkında bilgiler bulunmaktadır.|Porsche|1994 Avustralya Grand Prix|Formula Renault|Targa Florio|DAMS
Kaç yılında Yıldız Savaşları serisinin ilk filmi yayınlanmıştır ve bu film hangi stüdyo tarafından yayınlanmıştır?|Yıldız Savaşları|George Lucas|Now That I've Found You|Hustle|Hasan Karacadağ
Anıtkabir'in toplam maliyeti ne kadardı ve proje için ayrılan bütçeden ne kadar tasarruf edildi?|Anıtkabir|Federal Deposit Insurance Corporation|Çekim programı|Cumhuriyet için Seferberlik Buluşması|Visayan Denizi
Gestuno, gerçek bir dil gibi somut dil bilgisel kurallarına sahip midir?|Dil|Güzelova, İdil|Doğal dil üretme|Gerçek (gazete)|Cerh ve Ta'dil
Metinde hangi tür spam içeriklerinin olduğu ve bunların kullanıcılara nasıl ulaştığı hakkında bilgi verilmektedir?|Spam|Mine çiçeğigiller|Türler sorunu|Programlama dili|Çıldırın Hüyleri
Metinde, coğrafyanın beş temel unsuru ve bu unsurların açıklamaları verilmektedir. Bu unsurlar nelerdir ve nasıl tanımlanmaktadır?|Coğrafya|Askerî devrim|Fizik|Çin mitolojisi|Tarım
Big Bang modeli 1984'te mi doğrulanmıştır?|ROCKISDEAD (albüm)|Corbin Bernsen|1984 Kış Olimpiyatları|Sharp Zaurus|Héctor Lechuga
Tony Blair, hangi yıllar arasında Birleşik Krallık Başbakanlığı yapmıştır?|Tony Blair|Robert Jenkinson|Clement Attlee|Britanya Faşistler Birliği|The Sunday Times
Hangi tür insani faaliyetler yapay depremlere örnek olarak verilebilir?|Mine çiçeğigiller|Türler sorunu|Çatal tırnak|Programlama dili|Üç boyutlu uzay
 Metinde, Mustafa Kemal Atatürk'ü canlandıran oyuncular ve yapımlar hakkında bilgiler verilmiştir.|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk'ün askerî kariyeri|İzmir Atatürk Müzesi|Konya Atatürk Evi Müzesi|1927 Türkiye cumhurbaşkanlığı seçimi
Ataol Behramoğlu'na yönelik açılan manevi tazminat davasında Ankara 15. Asliye Hukuk Mahkemesi ne karar verdi?|Serdar Özgüldür|İhsan Ezgü|Hukuk|Osman Talat İltekin|Zafer Kantarcıoğlu
Fred Hoyle kaç yaşında öldü?|RWDM Brussels FC|Antonio Michele Stanca|Koos van den Berg|Viktor Korchnoi|Ferenc Kiss
Recep Tayyip Erdoğan, hangi siyasi partinin genel başkanıdır?|Recep Tayyip Erdoğan|Hak ve Eşitlik Partisi|Abdullah Gül|Fahri Kasırga|Önder Aksakal
bir alanı işgal eden ve nesilden nesile üreyen aynı türe ait organizmalar grubuna popülasyon mu denir?|Ekoloji|Özcan Türe|Biyoloji|II. Dünya Savaşı sırasında tarafsız güçler|Popülasyona göre kuşlar listesi
Mumyalama, Eski Mısırlılar için ölümden sonraki yaşamın önemli bir parçası mıydı?|Antik Mısır|Pryanik|Biyoloji|Alkistis Protopsalti|Serdab
Wesley Clark hangi askeri akademide öğrenim gördü?|Wesley Clark|Clark hücresi|Askerî devrim|Mareşal Emin Paşa|Celal Bulutlar
 Metinde, coğrafyanın beş temel unsuru ve bu unsurların açıklamaları verilmektedir. Bu unsurlar nelerdir ve nasıl tanımlanmaktadır?|Coğrafya|Askerî devrim|Fizik|Çin mitolojisi|Tarım
Antik Mısır'da kadınlar, hukuk önünde eşit muamele görürler miydi?|Hukuk|Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|El-Hevemdeyye
Cezayir'in nüfusu kaç milyondur?|Cezayir|Cezayir Türkleri|Burcü'l-Bahri|2014 FIFA Dünya Kupası H Grubu|Vahran tramvay hattı
Pozitivizmin üç aşama yasası nedir?|Ontoloji|İrlanda'da LGBT hakları|2022 Dünya Salon Atletizm Şampiyonası - Erkekler üç adım atlama|Şantajcıdan Etkilenen ve Yolsuzluk Yapan Örgütler Yasası|Cassius Maximus Tyrius
Zafer Kulesi hangi bölümde yer almaktadır?|Guangzhou Televizyon Kulesi|Kemer Saat Kulesi|Yaka Kalesi|Anıtkabir|Kahire Kulesi
Metinde, toplum biliminin tarihçesi, kuruluşu ve disiplinin içindeki gelişimi hakkında bilgiler verilmektedir.|Sosyoloji|Kırıkuşağı, Feke|Library Journal|Radyo ve Televizyon Yüksek Kurulu|Britanyalılar
Uğur Mumcu'nun siyasi duruşu ve gazetecilik kariyeri hakkındaki verilen bilgiler nelerdir?|Uğur Mumcu|Uğur Mumcu, Çiğli|Buğra Uğur|Uğur Yanıkdemir|Türkiye'deki siyasi partiler listesi
2001 yılında kurulan ilk üniversite hangi tarihte kurulmuştur?|Kyushu Üniversitesi|2001 Dünya Üniversiteler Kış Oyunları|Avrupa Üniversitesi (Üsküp)|Vilnius Üniversitesi|Buhara Devlet Üniversitesi
Metindeki bilgileri özetler misin?|Şekerli misin Vay Vay|Stream|Böğürtlen, Sivrihisar|Topallı, Aladağ|Kırca, Bigadiç
William J. Clinton'un hayatı ve politik kariyeri hakkında ne söylenebilir?|Bill Clinton|Flandreli Matilda|Mursal, Elmalı|ContraPoints|Nouriel Roubini
Cengiz Han'ın sahip olduğu topraklar hangi imparatorluğun büyüklüğündeydi?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Karabağ Han Sarayı
Barış Manço ve Kurtalan Ekspres'in 1977 yılında yayımlanan albümün adı nedir?|Barış Manço|Ağaçlıpınar, Kurtalan|Saipbeyli, Kurtalan|Renkli Rüyalar Oteli|Gandhi Barış Ödülü
Metinde Zazaca edebiyatının gelişimi, dergiler, yayınevleri ve televizyon yayınları hakkında hangi bilgiler verilmektedir?|Zazaca|Pocket Books|Ezeli Doğanay|Library Journal|Skeptic
Eski Krallık ve Orta Krallık dönemlerinde piramitlerin yapımı devam mı etmiştir?|Clement Attlee|Britanya Faşistler Birliği|Tony Blair|The Sunday Times|Antik Mısır
Yeni Krallık Dönemi'nde, Deniz Kavimleri Mısır'a saldırdı mı? |Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|El-Hevemdeyye|Yunanistan Deniz Kuvvetlerinin hizmetteki gemileri listesi
Metinde Zazaca diliyle çekilmiş filmler ve belgeseller hakkında hangi bilgiler verilmektedir?|Zazaca|The Big Sick|Mesaj (film)|Avatar 4|The Cardinal
Terry Gilliam'ın hangi filmi 1985 yılında çekilmiştir?|Terry Gilliam|Ben (Zerrin Özer albümü)|Sosuke Morito|Irmak Atuk|Burhaniyespor
Mısırlılar, Güneş'e dayalı bir takvim oluşturmuşlar mıydı?|Güneş tanrılarının listesi|World Solar Challenge|Kepler'in gezegensel hareket yasaları|Astronomia nova (Yeni Astronomi)|Moniteur Ottoman
İstiklâl Marşı'nın bestesi kime aittir?|İstiklâl Marşı|Aegukka|Gönüllüler Marşı|May It Be|Bir Damla Gözlerimde
Habitat nedir?|Ontoloji|Moshe Safdie|Ekoloji|Port address translation|Litecoin
Metinde, bilgisayar mühendisliğinin tanımı, çalışma alanları ve tarihçesi hakkında bilgiler verilmektedir.|Bilgisayar mühendisliği|Kırıkuşağı, Feke|Biyokimya mühendisliği|Mihalis Yannakakis|Elektronik mühendisliği
Komünite, aynı coğrafi alanda yaşayan farklı türlerin popülasyonlarını içerir mi?|Ocotea basicordatifolia|Ekoloji|Türler sorunu|Adlarını coğrafi yerlerden alan elementler listesi|Vufflens-le-Château
Bu metinde yer alan tanrı gruplarının ve tanrıçalarının özellikleri nelerdir?|Deizm|Mısır tanrıları listesi|Kaodaizm|Annuna|Camugnano
Anadolu'nun bilinen ilk sakinleri Hint-Avrupa milletlerindendir, doğru mu?|Babür-İngiliz Savaşı|Vidyut Jamwal|Anadolu Selçuklu Devleti|Türkiye|Kuzey Avrupa hipotezi
Metinde, bilgisayar programcılığının tanımı, programlama dilleri kullanarak donanıma iş yaptırma süreci ve bu süreçle ilgili bazı ilgili kavramlar hakkında bilgiler verilmektedir.|Bilgisayar programcılığı|Bilgisayar mühendisliği|Programlama dili|Otomatik programlama|Apsalokece
Antropolojinin erken dönemlerinde hangi düşünce hakimdi?|Marcel Mauss|Programlama dili|Periplus Maris Erythraei|Lisehor Yaylası|Logothetis
Otrar Hadisesi ne zaman gerçekleşti?|637|Zaman aşımı|1999 Finlandiya'da Avrupa Parlamentosu seçimleri|MÖ 490|MÖ 333
Mısır matematikçileri, sadece dört işlemi ve kesirleri mi kullanabiliyorlardı?|Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|El-Hevemdeyye|Mısır Kupası
Dil değişiminin sosyal etkenlere bağlı olduğu iddia edilebilir mi?|Dil|Güzelova, İdil|Doğal dil üretme|Sosyal dışlanma|Sosyal televizyon
Tanıl Bora'nın kitabının ISBN numarası nedir?|Bora Bora Krallığı|Birinci normal form|Ontoloji|Mercan Adası (kitap)|Anne Wiazemsky
Mısır’da ticaret genellikle rahiplerin kontrolünde miydi?|Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|El-Hevemdeyye|Mısır Kupası
Gençlerbirliği'nin ilk ciddi başarısını elde ettiği yıl hangisidir?|Gençlerbirliği SK|Jacques Momha|Abdulhamit Yıldız|Dmitro Hreçişkin|Mario Noremberg
Cengiz Han'ın hükümdarlık dönemi kaç yıl sürdü?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Karabağ Han Sarayı
Dünyada gerçekleşen en büyük depremler hangileridir?|Deprem|Wadati-Benioff Bölgesi|1222 Kıbrıs depremi|Linyi|Midibüs
Pisagor teoremi hangi matematikçiye atfedilir?|Pisagor|Pisagor teoremi|Programlama dili|Periplus Maris Erythraei|Önsel olasılık
Barış Manço'nun Belçika'daki evi hangi isimle anılmaktadır?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|2014 FIFA Dünya Kupası H Grubu|Gérard Cooreman
II. Dünya Savaşı sonrasında Cezayir'de gerçekleşen ayaklanma hangi tarihte gerçekleşmiştir?|Cezayir|Cezayir Türkleri|Dünya savaşı|Burcü'l-Bahri|2014 FIFA Dünya Kupası H Grubu
Hierakonpolis'teki iklim değişikliği, bölge halkını Nil Nehri'nin taşkınlarından koruyacak sulama projelerini geliştirmeye yönlendirdi mi? |Bölge (anlam ayrımı)|Liffey Nehri|Nijer Nehri|Old Crow Nehri|Delaware Nehri
Neolitik çağdan itibaren Aliağa'ya yerleşen ve tarım yapan insanların sayısındaki artış oranı nedir?|Güzelhisar, Aliağa|Aliağa|Tarım|Tarım ve Orman Bakanlığı|Durağan
İslam hukuku, hukukun kaynağı olarak Kur’an’ı mı görür?|Hukuk|Cüz|Fil Suresi|Avrupa İslamı|Ebu Leheb
Recep Tayyip Erdoğan hangi medya kuruluşuna verdiği mülakatta eleştirildi?|Recep Tayyip Erdoğan|Fahri Kasırga|Abdullah Gül|TÜGVA|Bozkurt işareti
Mustafa Kemal'in milliyetçi mücadelesi sırasında iç ve dış politikadaki gelişmeleri özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|41. Türkiye Hükûmeti|1927 Türkiye cumhurbaşkanlığı seçimi
Metinde, İtalya'da kurulan oluşumlar ve kurumsal yan kuruluşlar hakkında bilgi verilmektedir.|1946 İtalya anayasa referandumu|Wasilla, Alaska|Markham, Ontario|Anheuser-Busch InBev|Yan (An-Şi)
Hukuk, sadece bireyler arasındaki ilişkileri düzenleyen bir normatif bilim midir?|Hukuk|İkinci Soğuk Savaş|Avrupa Komşuluk Politikası|Skeptic|İsviçre'nin Ankara Büyükelçiliği
Metinde, Mustafa Kemal Atatürk'ün ölümünden sonra gerçekleşen anma etkinlikleri ve Atatürk'ün hayatı üzerine yapılan çalışmalar hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün kişisel yazıları ve eserleri ile ilgili bilgilere de değinilmiştir.|Mustafa Kemal Atatürk|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Anıtkabir
 Metinde, coğrafyanın tanımı, tarihi, temel ilkeleri ve dalları hakkında bilgiler verilmektedir.|Coğrafya|Batı Azerbaycan|Tarihî Sukotay Kenti ve İlgili Tarihî Kentler|Fizik|Serir
Mustafa Kemal'in cumhuriyetle meşruti monarşi arasındaki farkları açıkladığı ve Türkiye Cumhuriyeti'nin ilan edilme sürecini anlatan metni özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi|Türkiye
Zazaca dilinin coğrafi dağılımı ve sınıflandırılması hakkında neler söylenmektedir?|Zazaca|Poisson dağılımı tablosu|Okçular, Kovancılar|Altınışık, Bingöl|Coğrafya
Galatasaray Kadın Sutopu Takımı, 2012 yılında Türkiye Kadınlar Sutopu 1. Ligi'nde şampiyon olmuş mudur?|Sırbistan kadın millî sutopu takımı|Galatasaray SK|Beşiktaş (kadın futbol takımı)|Fenerbahçe Masa Tenisi Şubesi 2011-12 sezonu|Neriman Özsoy
Metinde Zazaca dilinin akrabalık ilişkileri, kökeni ve edebiyatı hakkında hangi bilgiler verilmektedir ve nasıl geliştiği açıklanmaktadır?|Zazaca|Bacanak|Avrupa Komşuluk Politikası|İkinci Soğuk Savaş|Ertuğrul Aydın
Grafın temeli kim tarafından atılmıştır?|Kim Busik|Devlet Bayrağı Meydanı (Bakü)|Kim Hyun-seok|Kim Korkar Hain Kurttan?|Esma Sultan (I. Ahmed'in kızı)
Napolyon Bonapart, Mısır'da bilimsel çalışmalar düzenlemiş midir?|Jean-Mathieu-Philibert Sérurier|1814 Paris Muharebesi|18 Brumaire Darbesi|Antik Mısır|Aşağı Mısır
Hitit İmparatorluğu'nun çöküşünden sonra Anadolu'da üstünlük elde eden devlet Frigler midir?|Anadolu Selçuklu Devleti|Türkiye|Nikea Kuşatması (727)|Tanrıbermiş Beyliği|Norbert Ratsirahonana
Arkealar, bakterilerden farklı olarak, eşeysiz olarak çoğalır mı?|Biyoloji|Trichoderma reesei|Uğrunda Ölürüm / Sen Aslanlar Gibisin|Geniş bant|İzoton
Yıldız astronomisinin temel prensipleri ve yıldızların evrim süreçleri nelerdir?|Yıldızların Zamanı|Yıldız Savaşları|Küçük gruplarda iletişim|Astronomi|Iraklık açısı
Mısır'da dünya da bilinen ilk barış antlaşması imzalanmış mıdır?|Antik Mısır|1952 Mısır Devrimi|Aşağı Mısır|Gandhi Barış Ödülü|Atina Antlaşması (1913)
Hangi FKF Genel Başkanı TİP üyesiydi ve seçildikten sonra MDD çizgisine geçti?|Fikir Kulüpleri Federasyonu (1965)|Ferit İlsever|Evren Duyal|Atılım (gazete)|Bakanlar kurulu başkanı
Bu metindeki bilgilere dayanarak Türkiye'de siyasi partilerin hukuki durumu ve mevcut listelerde yer alan siyasi partilerin durumu hakkında ne söylenebilir?|Türkiye'deki siyasi partiler listesi|İnsanlık Durumu|Devredilemez tek oy|1968 Avrupa Futbol Şampiyonası elemeleri - 8. Grup|Demokrat Merkez Partisi
Mendel'in çalışmaları, modern genetiğin temellerini atmış mıdır?|Modern Sanat Müzesi|Genetik|Medikal genetik|1920 Yaz Olimpiyatları'nda modern pentatlon|PGM-19 Jupiter
Ankara Hükûmeti'nin iç politikadaki adımları ve dış politikadaki gelişmeleri özetleyiniz.|İsviçre'nin Ankara Büyükelçiliği|İstemi Betil|1972-73 Türkiye Erkekler Voleybol Ligi|Faruk Koca|Mustafa Erdem
Kim 2004 yılında Yılın Avrupalısı seçildi ve Türkiye'nin Avrupa Birliği'ne katılımının medeniyetler çatışmasına yol açmayacağını belirten bir yorumda bulundu?|Türkiye|Türkiye Cumhuriyeti Avrupa Birliği Başkanlığı|Faruk Kaymakcı|İHeartRadio Müzik Ödülleri|Kim Busik
Yehuling Savaşı'nda kaç Jin askeri hayatını kaybetti?|Park Soo-jin|Tahir Bağırov|Dünya savaşı|Askerî devrim|Tuva Halk Devrim Ordusu
2020-2021 sezonunda 24 Erzincanspor futbol takımı hangi ligde yer almıştır?|Hollanda kadın millî futbol takımı|Beşiktaş (kadın futbol takımı)|Diyarbakır Kayapınar Belediyespor|Antalya Toroslar BK|Japonya 17 yaş altı millî futbol takımı
Barış Manço'nun ilk video klibi hangi şarkı için çekilmiştir?|Barış Manço|Renkli Rüyalar Oteli|En İyi Rock MTV Avrupa Müzik Ödülü|Stay (Jay Sean şarkısı)|Sıfır Tolerans
Metinde hangi dilbilgisi ve dil yapısı özellikleri hakkında bilgiler verilmektedir?|Dil|Güzelova, İdil|Doğal dil üretme|Periplus Maris Erythraei|Library Journal
Tören meydanının toplam ölçüsü nedir?|Anıtkabir|Ontoloji|COVID-19 pandemisinin Mart 2020 kronolojisi|Askerî tören şapkası|Onhaye
Otrar hadisesi sonrasında Harezmşah Muhammed hangi yıl Cengiz Han'a karşı savaş planı oluşturdu?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Kasım Han|Moğolistan tarihi
Orwell'in 1984 romanı, dilin politik olarak nasıl kullanılabileceğine dair bir örnek midir?|Dil|1984 Kış Olimpiyatları|Türler sorunu|Kara Davut (anlam ayrımı)|Nur Baba (roman)
Hukuk, sadece devlet tarafından güvenceye alınmış ve cebrî yaptırımlara sahip olmalı mıdır?|Hukuk|Emre Başer|İstemi Betil|Orhan Aldıkaçtı|İhsan Ezgü
Uğur Mumcu'nun hayatı ve gazetecilik kariyeri hakkında verilen bilgiler nelerdir?|Uğur Mumcu|Uğur Mumcu, Çiğli|Buğra Uğur|Uğur Yanıkdemir|Adnan Uğur
Metinde, toplum bilimcilerin farklı araştırma yöntemlerini ve yaklaşımlarını kullanarak toplum bilimini nasıl anladıkları, özellikle nitel ve nicel araştırma yöntemlerinin önemi, ve toplumsal değişimi açıklamak için kullanılan sosyal teoriler hakkında bilgi verilmektedir.|Sosyoloji|Sosyal dışlanma|Hacettepe Üniversitesi Felsefe Bölümü|Ondokuz Mayıs Üniversitesi|İsviçre Ekonomik İşler, Eğitim ve Araştırma Bakanlığı
 Metinde, Ferrari'nin Formula 1'deki başarıları ve yaşadığı değişimler hakkında detaylı bilgiler yer almaktadır. Ferrari'nin Formula 1 tarihindeki önemli dönüm noktaları, kazandığı şampiyonluklar ve mücadeleleri anlatılmaktadır.|Ferrari F93A|Ferrari|Formula Renault|Giancarlo Fisichella|Cosworth
Cengiz Han, Kara Hıtayların son hükümdarı Güçlük'e karşı hangi yıl Cebe Noyan komutasında bir kuvvet yolladı?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Kuvvet serisi|Moğolistan tarihi
Barış Manço'nun oğlu Doğukan Hazar Manço ne zaman doğmuştur?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|Trans-Hazar Oblastı|Kalga ve Kaban
Anıtkabir'in inşaatı ne zaman tamamlanmıştır?|Anıtkabir|Bebekler, Ödemiş|Zaman aşımı|Cumhuriyet için Seferberlik Buluşması|Meclis-i Vükelâ
Nişabur'da kaç gün içinde piramitlerin tamamı yapıldı?|Ebu Abdullah el-Mukri|1998 Dünya Halter Şampiyonası - Kadınlar 75 kg|1912 Yaz Olimpiyatları'nda bisiklet|Karakulak, Kızıltepe|Blyth Spartans AFC
Asurlular, Mısır'ın kontrolünü vasallara bıraktı mı?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|MÖ 243
Nâzım Hikmet Kültür Merkezi'nin faaliyet gösterdiği şehirler hangileridir?|Nâzım Hikmet Kültür Merkezi|Ülkelere göre şehirler listesi|Mehmet Ulusoy (yönetmen)|Kurta (giyim)|Uruguay'daki şehirler listesi
Microsoft Windows 11'in kod adı nedir?|Microsoft Windows|Windows 8|Windows Messenger|Windows Live Gallery|Microsoft Lumia 430
İnşaatın kontrol şefliğine atanacak kişi ve bu göreve ne zaman getirildiği hakkında bilgi verebilir misiniz?|Görgü tanığının ifadesi|Zaman aşımı|Din|Mülakat|Avrupa Hastalık Önleme ve Kontrol Merkezi
İsmet İnönü'nün siyasi kariyeri ne zaman başlamıştır?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Hür Demokrat Parti (Kuzey Kıbrıs Türk Cumhuriyeti)|Türkiye'deki siyasi partiler listesi
Termit yuvalarında sıcaklığın sabit tutulmasını sağlayan yapı nedir?|Banach sabit nokta teoremi|Maillard reaksiyonu|Ontoloji|Matematiksel yapı|Çit (anlam ayrımı)
Metinde, Y kuşağının tanımı, doğum aralığı, dijital teknolojilere olan aşinalığı, yaşadığı ekonomik ve siyasi etkiler, ve diğer kuşaklarla ilişkisi hakkında bilgiler verilmektedir.|Dijital okuryazarlık|Y Kuşağı|Türkiye'deki siyasi partiler listesi|Dijital medya oynatıcı|Gig çalışanları
Fizik, sadece mühendislikte simülasyon üretmek için mi kullanılır?|Fizik|Havok (yazılım)|Jeff Forshaw|Vufflens-le-Château|François Englert
Hukuk sistemlerinin kaynağı Roma hukuku mudur?|Hukuk|Roma (mitoloji)|Roma-Volsk Savaşları|Stephen F. Williams|Moricone
Birleşmiş Milletler'e üye kaç ülke vardır?|Ülkeler listesi|Wan Waithayakon|Birleşmiş Milletler İnsani Yardım Koordinasyon Ofisi|Ivan Šimonović|Mika Lintilä
Gestuno, Dünya İşitme Engelliler Federasyonu'nun kongresinde mi ele alınmıştır?|Yeni Zelanda Futbol Federasyonu|Dünya savaşı|Vufflens-le-Château|Dünya Kitap Başkenti|Oron Gölü
Filogeni, biyolojik sınıflandırmanın temelini oluşturur mu?|Krosetin|Ozan Orhon|Oftalmik asit|Kemikbilim|Biyokimya mühendisliği
Ebru kelimesi Farsça kökenli midir?|Ebru (anlam ayrımı)|Yezdani|Abdulhamit Çintan|Mahmaleh bahşı|Pustukan
Astronominin dalları, alanları ve konuları nelerdir?|Superior serebellar arter|Fizik|Astronomi|Doğançay, Mezitli|Mühendislik
Hayvanlar, belirlenmiş işaret sistemlerini kullanarak iletişim kurabilirler mi?|Küçük gruplarda iletişim|Yönlendirici|Vufflens-le-Château|.dj|Dil
Cezayir müziğinin en çok bilinen türü nedir?|Cezayir|Cezayir Türkleri|Burcü'l-Bahri|2014 FIFA Dünya Kupası H Grubu|Tuat
Mustafa Kemal Paşa, Samsun'a çıkarken yanında sadece askeri personel mi vardı?|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|Mustafa Rauf İnan|Canbolatoğlu Ali Paşa|1923 Türkiye cumhurbaşkanlığı seçimi
Tunceli'de kaç köy bulunmaktadır?|Tunceli (il)|Ziyaret, Ovacık|Gömemiş, Tunceli|Çatköy, Ovacık|Nohutlu, Pülümür
 Metinde Atatürk'ün doğum tarihiyle ilgili bilgiler nelerdir ve bu konudaki belirsizlik nasıl açıklanmaktadır?|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Mustafa Kemal Atatürk|Anıtkabir
Metinde hangi siyasi partiden ve tarihlerden bahsedilmektedir?|Vatandaş Partisi|Türkiye'deki siyasi partiler listesi|Dadalı, Akçakoca|Polonya İşçi Partisi|Merkez Parti
Mayoz, DNA replikasyonunu takiben iki bölünme geçirerek dört haploid yavru hücre mi oluşturur?|Sitoloji|Genetik|Biyoloji|Gametofit|Oligosakkarit
Karmaşık sayılar hangi sayı kavramının bir uzantısı olarak ortaya çıkmıştır?|Sayı|87 (sayı)|Cebirsel sayı alanı|Emre Aracı|Rauf Tunçay
Temuçin kaç yaşındayken evlendi?|Cengiz Han|Jason Priestley|I. Joseph (Kutsal Roma imparatoru)|Nicolae Alexandru|Portia de Rossi
Sultan Celaleddin'in Gazne'deki Moğol ordusunu yendiği savaşta kaç askerle yerleşmişti?|Behramşah|Pîr Sultan Abdal|Hürrem Sultan Balesi|Tebriz'in Zaptı (1514)|Nesâ Muharebesi
Pertek Belediyespor kadın takımı, hangi ligde yer almaktadır ve kendi grubunda kaçıncı olmuştur?|Ballıdut, Pertek|Mersin Büyükşehir Belediyespor (kadın basketbol takımı)|Hollanda kadın millî futbol takımı|Beşiktaş (kadın futbol takımı)|Sivas Belediyespor
Mustafa Kemal'in askeri başarıları ve Türk Kurtuluş Savaşı'nın son aşamalarındaki gelişmeler hakkında bilgi veriniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|Gazi Paşa|Ömer Fevzi Eyüboğlu|Kırık Kanatlar (dizi)
Gül 29 Ekim 1950'de Kayseri'de dünyaya gelen kimdir?|Abdullah Gül|Gül yağı|Kuruköprü, Talas|Çadıryeri, Develi|Kayseri Kapalı Cezaevi
Temuçin ve Tuğrul Han arasındaki anlaşmazlık hangi yıl başlamıştır?|Cengiz Han|Yeni Han|Karabağ Han Sarayı|Kasım Han|Muhammed Eyüb Han
Metinde, Ferrari'nin kurucusu Enzo Ferrari'nin hayatı ve şirketin tarihçesi hakkında detaylı bilgiler yer almaktadır. Ferrari'nin başarıları, maddi zorluklarla mücadelesi ve Enzo Ferrari'nin ölümüne ilişkin çeşitli görüşler metinde yer alır.|Ferrari|Ferrari F93A|Giancarlo Fisichella|Ferrari 195 S|Targa Florio
Anıtkabir'in toplam yüzölçümü ne kadardır ve bu alanın kaç m2'si Barış Parkı'na ayrılmıştır?|Anıtkabir|Vufflens-le-Château|Gandhi Barış Ödülü|Derbent, Sarıyer|Mersin'in il yolları
Güneydoğu Anadolu Bölgesi'nde hangi dağ yer alır ve hangi yüksekliğe sahiptir?|Güneydoğu Anadolu Bölgesi|Balkaya Dağı|Dağ bisikleti yarışı|Doğu Anadolu Bölgesi|Anadolu Selçuklu Devleti
Metinde, Porsche AG'nin kuruluşu, ürettiği modeller, yarış başarıları ve iş birlikleri hakkında bilgiler bulunmaktadır.|Porsche|Targa Florio|Lada Samara|Kenneth Church|1994 Avustralya Grand Prix
Şeref Holü'nde hangi yazılar ve mesajlar yer almaktadır?|Anıtkabir|Clarence Avant|Radom|Eddie Borysewicz|Waşikur Rahman
 Metinde, Mustafa Kemal Atatürk'ün aşk hayatı, evlilikleri ve manevi evlatları hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün dinî inancıyla ilgili farklı görüşler ve belirtilen sözler de açıklanmıştır.|Mustafa Kemal Atatürk|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Mustafa Kemal Atatürk'ün askerî kariyeri
